feature,horizon,mean_abs_price_change_when_occluded,sample_rows
beta_day_of_year_sin,10,16.387550354003906,400
gold_log_price,30,16.381738662719727,400
beta_month,20,16.0307559967041,400
beta_day_of_year_sin,5,15.902752876281738,400
tips_curve,20,15.853930473327637,400
gold_price,5,15.656323432922363,400
gold_lag_1,20,15.529975891113281,400
tips_curve,30,15.134687423706055,400
gpr_index,30,15.086126327514648,400
gold_lag_20,30,15.05151653289795,400
eur_usd,10,14.6991605758667,400
beta_quarter,5,14.559700012207031,400
gold_return_20,20,14.517171859741211,400
nominal_yield,30,14.296843528747559,400
gold_lag_1,10,14.282495498657227,400
policy_unc,5,14.25289535522461,400
gold_log_price,20,14.19565200805664,400
beta_month,30,14.080883979797363,400
beta_quarter,10,14.032196998596191,400
gold_ma_20,20,14.031396865844727,400
gold_ma_20,10,13.921963691711426,400
m2_supply,5,13.832369804382324,400
gold_lag_1,30,13.696619033813477,400
eur_usd,20,13.569226264953613,400
gold_lag_5,10,13.526806831359863,400
eur_usd,5,13.377180099487305,400
beta_year,5,13.365791320800781,400
gpr_index,5,13.219673156738281,400
gold_return_1,1,13.17306137084961,400
gold_lag_5,5,12.590041160583496,400
real_yield,30,12.553442001342773,400
beta_time_index,30,12.506916046142578,400
usd_index,5,12.467538833618164,400
beta_time_index,10,12.464760780334473,400
gold_return_5,20,12.350268363952637,400
beta_time_index,5,12.299943923950195,400
gold_price,10,12.27652359008789,400
fed_bs,20,12.247871398925781,400
tips_curve,10,12.118281364440918,400
gold_price,30,12.003989219665527,400
fed_bs,30,11.951268196105957,400
gold_lag_5,30,11.920234680175781,400
gold_ma_20,30,11.87537956237793,400
fed_bs,5,11.804819107055664,400
gold_return_60,5,11.7891845703125,400
gold_log_price,10,11.786445617675781,400
gold_return_20,1,11.539529800415039,400
gold_ma_60,1,11.483429908752441,400
gpr_index,20,11.367176055908203,400
m2_supply,10,10.782038688659668,400
fed_bs,10,10.75399398803711,400
ind_prod,30,10.68481731414795,400
gold_return_5,30,10.626001358032227,400
ppi_index,30,10.616357803344727,400
ppi_index,10,10.50540542602539,400
gold_volatility_20,30,10.429608345031738,400
beta_month,5,10.393013000488281,400
gold_return_5,10,10.303003311157227,400
nominal_yield,20,10.237707138061523,400
gold_lag_5,20,10.107173919677734,400
nominal_yield,10,10.044283866882324,400
m2_supply,20,10.02270793914795,400
gold_ma_5,20,9.95898151397705,400
gold_log_price,5,9.900357246398926,400
real_yield,10,9.836360931396484,400
m2_supply,30,9.655074119567871,400
tips_curve,5,9.428784370422363,400
beta_month,10,9.3489990234375,400
gold_lag_20,1,9.338159561157227,400
gold_volatility_20,10,9.311769485473633,400
real_yield,20,9.244874954223633,400
ppi_index,20,9.239533424377441,400
gold_ma_60,20,9.201201438903809,400
beta_time_index,20,9.11617660522461,400
real_yield,5,8.864204406738281,400
beta_year,20,8.756880760192871,400
gold_drawdown_252,1,8.696215629577637,400
gold_return_60,30,8.694535255432129,400
ppi_index,5,8.684198379516602,400
ind_prod,10,8.671568870544434,400
ind_prod,20,8.6249418258667,400
gold_ma_5,1,8.42595100402832,400
gold_ma_ratio_60,1,7.977768421173096,400
gold_return_60,20,7.9457573890686035,400
