date,split,actual,yhat,yhat_lower,yhat_upper,forecast_stage
1969-02-05,train,43.6,,,,actual_training_history
1969-02-06,train,42.67,,,,actual_training_history
1969-02-07,train,41.23,,,,actual_training_history
1969-02-10,train,40.88,,,,actual_training_history
1969-02-11,train,40.88,,,,actual_training_history
1969-02-12,train,35.3,,,,actual_training_history
1969-02-13,train,35.3,,,,actual_training_history
1969-02-14,train,35.3,,,,actual_training_history
1969-02-17,train,35.3,,,,actual_training_history
1969-02-18,train,35.3,,,,actual_training_history
1969-02-19,train,35.3,,,,actual_training_history
1969-02-20,train,35.3,,,,actual_training_history
1969-02-21,train,35.3,,,,actual_training_history
1969-02-24,train,35.3,,,,actual_training_history
1969-02-25,train,35.3,,,,actual_training_history
1969-02-26,train,35.3,,,,actual_training_history
1969-02-27,train,35.3,,,,actual_training_history
1969-02-28,train,35.3,,,,actual_training_history
1969-03-03,train,42.7,,,,actual_training_history
1969-03-04,train,43.38,,,,actual_training_history
1969-03-05,train,43.38,,,,actual_training_history
1969-03-06,train,42.29,,,,actual_training_history
1969-03-07,train,41.55,,,,actual_training_history
1969-03-10,train,40.95,,,,actual_training_history
1969-03-11,train,39.55,,,,actual_training_history
1969-03-12,train,35.38,,,,actual_training_history
1969-03-13,train,35.38,,,,actual_training_history
1969-03-14,train,35.38,,,,actual_training_history
1969-03-17,train,35.38,,,,actual_training_history
1969-03-18,train,35.38,,,,actual_training_history
1969-03-19,train,35.38,,,,actual_training_history
1969-03-20,train,35.38,,,,actual_training_history
1969-03-21,train,35.38,,,,actual_training_history
1969-03-24,train,35.38,,,,actual_training_history
1969-03-25,train,35.38,,,,actual_training_history
1969-03-26,train,35.38,,,,actual_training_history
1969-03-27,train,35.38,,,,actual_training_history
1969-03-28,train,35.38,,,,actual_training_history
1969-03-31,train,35.38,,,,actual_training_history
1969-04-01,train,35.38,,,,actual_training_history
1969-04-02,train,42.5,,,,actual_training_history
1969-04-03,train,42.85,,,,actual_training_history
1969-04-04,train,42.85,,,,actual_training_history
1969-04-07,train,41.6,,,,actual_training_history
1969-04-08,train,41.3,,,,actual_training_history
1969-04-09,train,40.92,,,,actual_training_history
1969-04-10,train,40.92,,,,actual_training_history
1969-04-11,train,39.55,,,,actual_training_history
1969-04-14,train,35.25,,,,actual_training_history
1969-04-15,train,35.25,,,,actual_training_history
1969-04-16,train,35.25,,,,actual_training_history
1969-04-17,train,35.25,,,,actual_training_history
1969-04-18,train,35.25,,,,actual_training_history
1969-04-21,train,35.25,,,,actual_training_history
1969-04-22,train,35.25,,,,actual_training_history
1969-04-23,train,35.25,,,,actual_training_history
1969-04-24,train,35.25,,,,actual_training_history
1969-04-25,train,35.25,,,,actual_training_history
1969-04-28,train,35.25,,,,actual_training_history
1969-04-29,train,35.25,,,,actual_training_history
1969-04-30,train,35.25,,,,actual_training_history
1969-05-01,train,35.25,,,,actual_training_history
1969-05-02,train,42.73,,,,actual_training_history
1969-05-05,train,43.5,,,,actual_training_history
1969-05-06,train,41.6,,,,actual_training_history
1969-05-07,train,41.6,,,,actual_training_history
1969-05-08,train,41.1,,,,actual_training_history
1969-05-09,train,40.9,,,,actual_training_history
1969-05-12,train,35.2,,,,actual_training_history
1969-05-13,train,35.2,,,,actual_training_history
1969-05-14,train,35.2,,,,actual_training_history
1969-05-15,train,35.2,,,,actual_training_history
1969-05-16,train,35.2,,,,actual_training_history
1969-05-19,train,35.2,,,,actual_training_history
1969-05-20,train,35.2,,,,actual_training_history
1969-05-21,train,35.2,,,,actual_training_history
1969-05-22,train,35.2,,,,actual_training_history
1969-05-23,train,35.2,,,,actual_training_history
1969-05-26,train,35.2,,,,actual_training_history
1969-05-27,train,35.2,,,,actual_training_history
1969-05-28,train,35.2,,,,actual_training_history
1969-05-29,train,35.2,,,,actual_training_history
1969-05-30,train,35.2,,,,actual_training_history
1969-06-02,train,42.62,,,,actual_training_history
1969-06-03,train,43.25,,,,actual_training_history
1969-06-04,train,43.25,,,,actual_training_history
1969-06-05,train,43.38,,,,actual_training_history
1969-06-06,train,40.62,,,,actual_training_history
1969-06-09,train,41.0,,,,actual_training_history
1969-06-10,train,40.75,,,,actual_training_history
1969-06-11,train,39.0,,,,actual_training_history
1969-06-12,train,39.0,,,,actual_training_history
1969-06-13,train,39.0,,,,actual_training_history
1969-06-16,train,39.0,,,,actual_training_history
1969-06-17,train,39.0,,,,actual_training_history
1969-06-18,train,39.0,,,,actual_training_history
1969-06-19,train,39.0,,,,actual_training_history
1969-06-20,train,39.0,,,,actual_training_history
1969-06-23,train,39.0,,,,actual_training_history
1969-06-24,train,39.0,,,,actual_training_history
1969-06-25,train,39.0,,,,actual_training_history
1969-06-26,train,39.0,,,,actual_training_history
