model_stage,epoch,train_quantile_loss,validation_quantile_loss,best_validation_quantile_loss_so_far
final_evaluation_model,26,0.010612927588089457,0.01760854199528694,0.016725400298395577
final_evaluation_model,27,0.010633154438351685,0.018320151933414096,0.016725400298395577
final_evaluation_model,28,0.010268607229556678,0.019290830611306077,0.016725400298395577
final_evaluation_model,29,0.01103078628415769,0.016668949057074153,0.016668949057074153
final_evaluation_model,30,0.011011140245311666,0.01885936951593441,0.016668949057074153
final_evaluation_model,31,0.010606064267878263,0.019139749764957848,0.016668949057074153
final_evaluation_model,32,0.009788509115647033,0.015300255542730583,0.015300255542730583
final_evaluation_model,33,0.009471192885682269,0.017335384098045966,0.015300255542730583
final_evaluation_model,34,0.009326705463090033,0.01817053687923095,0.015300255542730583
final_evaluation_model,35,0.009429771435570042,0.018331250340184745,0.015300255542730583
final_evaluation_model,36,0.009111005408724523,0.017905922990073177,0.015300255542730583
final_evaluation_model,37,0.009087110122771195,0.01796406041830778,0.015300255542730583
final_evaluation_model,38,0.008793958120118335,0.016825315652086455,0.015300255542730583
final_evaluation_model,39,0.014025492198273258,0.015228523434523274,0.015228523434523274
final_evaluation_model,40,0.016054763089654582,0.01539746962268563,0.015228523434523274
final_evaluation_model,41,0.01683138860916754,0.014857704805977204,0.014857704805977204
final_evaluation_model,42,0.01619367802269616,0.014195172527037999,0.014195172527037999
final_evaluation_model,43,0.014536767213974358,0.014034480678246301,0.014034480678246301
final_evaluation_model,44,0.013926783611751953,0.013985655215733191,0.013985655215733191
final_evaluation_model,45,0.013280769177484062,0.014415322474258788,0.013985655215733191
final_evaluation_model,46,0.012982878781292798,0.013693928115946405,0.013693928115946405
final_evaluation_model,47,0.012372277149895453,0.016653019989676335,0.013693928115946405
final_evaluation_model,48,0.011803485874859791,0.01825805298764916,0.013693928115946405
final_evaluation_model,49,0.011438853792705626,0.015378309523358065,0.013693928115946405
final_evaluation_model,50,0.010895536140591468,0.018242114387890872,0.013693928115946405
final_evaluation_model,51,0.010632557425437108,0.019159474410116673,0.013693928115946405
final_evaluation_model,52,0.010302145332800891,0.017992825904751524,0.013693928115946405
final_evaluation_model,53,0.009961113456706956,0.015894404283779508,0.013693928115946405
final_evaluation_model,54,0.009952571989862987,0.019015426309231448,0.013693928115946405
final_evaluation_model,55,0.009630420719677547,0.02730073670254034,0.013693928115946405
final_evaluation_model,56,0.009447617755043056,0.024294603670782903,0.013693928115946405
final_evaluation_model,57,0.009437770863889524,0.02316643253845327,0.013693928115946405
final_evaluation_model,58,0.00924877100184841,0.02082915258977343,0.013693928115946405
final_forecast_model,1,0.05182903991585754,0.05182903991585754,0.05182903991585754
final_forecast_model,2,0.028710570074169033,0.028710570074169033,0.028710570074169033
final_forecast_model,3,0.02212204259023609,0.02212204259023609,0.02212204259023609
final_forecast_model,4,0.021014061812535827,0.021014061812535827,0.021014061812535827
final_forecast_model,5,0.017376408328762256,0.017376408328762256,0.017376408328762256
final_forecast_model,6,0.01635570371949888,0.01635570371949888,0.01635570371949888
final_forecast_model,7,0.015392048845449126,0.015392048845449126,0.015392048845449126
final_forecast_model,8,0.014422003853033823,0.014422003853033823,0.014422003853033823
final_forecast_model,9,0.013775171869131455,0.013775171869131455,0.013775171869131455
final_forecast_model,10,0.013265458317136908,0.013265458317136908,0.013265458317136908
final_forecast_model,11,0.012773565510400089,0.012773565510400089,0.012773565510400089
final_forecast_model,12,0.012248669975403562,0.012248669975403562,0.012248669975403562
final_forecast_model,13,0.012008328203964665,0.012008328203964665,0.012008328203964665
final_forecast_model,14,0.011579351017184287,0.011579351017184287,0.011579351017184287
final_forecast_model,15,0.01137437222592802,0.01137437222592802,0.01137437222592802
final_forecast_model,16,0.010960414410983941,0.010960414410983941,0.010960414410983941
final_forecast_model,17,0.01102890566844179,0.01102890566844179,0.010960414410983941
final_forecast_model,18,0.010720230459448803,0.010720230459448803,0.010720230459448803
final_forecast_model,19,0.01035206580916083,0.01035206580916083,0.01035206580916083
final_forecast_model,20,0.010393798878663275,0.010393798878663275,0.01035206580916083
final_forecast_model,21,0.01029022999601551,0.01029022999601551,0.01029022999601551
final_forecast_model,22,0.010097805567714105,0.010097805567714105,0.010097805567714105
final_forecast_model,23,0.009629175515778094,0.009629175515778094,0.009629175515778094
final_forecast_model,24,0.009687121430165079,0.009687121430165079,0.009629175515778094
final_forecast_model,25,0.009379310712936413,0.009379310712936413,0.009379310712936413
