trial_number,sequence_length,hidden_size,attention_heads,dropout,learning_rate,weight_decay,batch_size,grn_depth,status,validation_quantile_loss,epochs_completed,parameter_count,runtime_seconds
22,20,192,2,0.21117154412528347,0.00020447744842098573,7.44281291590348e-08,128,3,completed,0.020942851590613525,24,1146915,11.371
23,20,128,2,0.36264468696612107,0.0015833395459803005,2.1579046699247817e-06,64,3,completed,0.014161973369910437,32,527395,22.599
24,20,128,8,0.2477039054096855,0.0005750949661572366,1.083066450552877e-08,32,3,completed,0.015361287264209805,17,527395,20.894
25,20,256,2,0.09124025723760727,0.0014730418711406048,1.5277278471231916e-07,128,3,completed,0.013364934672911962,41,2004003,17.26
26,20,256,8,0.09437768713194726,0.001470619410426552,9.082446610024282e-08,32,2,completed,0.016214390482866402,20,1806115,25.041
27,60,256,2,0.14785322998017067,0.00275092938135854,1.0880523935691926e-07,32,3,completed,0.01599119169016679,46,2004003,72.554
28,252,256,2,0.19131548377199725,0.0003204945318429958,2.398881938802776e-08,64,3,completed,0.016337764723335996,19,2004003,46.917
29,252,256,8,0.2712396082078344,0.000149909901269443,9.809629214083604e-06,128,2,completed,0.01917977227518956,29,1806115,61.293
30,20,256,4,0.12162396324026523,0.0012645886737468889,1.4982017031408548e-06,32,2,completed,0.0155172273234436,20,1806115,25.444
31,20,192,2,0.0756189023271985,0.0006906178387687578,3.70053526601986e-07,128,3,completed,0.01419044223924478,32,1146915,13.051
32,20,64,2,0.06569275967361543,0.0003633269309307418,5.460143630569025e-07,128,3,completed,0.018187481289108593,21,145443,8.438
33,20,256,2,0.08267868102518575,0.0018489465969728466,1.7988062225836855e-07,128,3,completed,0.016001986132727727,50,2004003,21.702
34,120,256,2,0.16051644010118465,0.0006933159471462128,2.6342679907369572e-08,128,3,completed,0.026688692677352164,15,2004003,16.216
35,20,64,4,0.12486495810135423,0.00021072717690411429,3.9170858924586605e-07,32,2,completed,0.015812656023737156,28,132835,28.694
36,252,192,2,0.13793420006952437,0.0011044527978411316,1.2598988623623322e-07,128,1,completed,0.04584122676816252,13,923811,20.278
37,120,128,2,0.20593354982812784,0.0002705952923237022,4.476605113963841e-08,64,3,completed,0.01778747541282107,33,527395,20.392
38,20,256,8,0.10956945956199371,0.002057955560401595,2.052229470626304e-06,32,1,completed,0.015045322336708054,26,1608227,25.992
39,20,192,4,0.2640062581524234,0.0005144194793974883,9.344664076213362e-06,32,2,completed,0.017550475020526035,20,1035363,20.821
40,120,128,2,0.3189978883852003,0.0003918221512750108,3.575170978081013e-08,128,3,completed,0.016044567960004013,26,527395,13.082
