date,dataset_id,split,gold_price
1969-08-20,long_univariate,train,35.05
1969-08-21,long_univariate,train,35.05
1969-08-22,long_univariate,train,35.05
1969-08-25,long_univariate,train,35.05
1969-08-26,long_univariate,train,35.05
1969-08-27,long_univariate,train,35.05
1969-08-28,long_univariate,train,35.05
1969-08-29,long_univariate,train,35.05
1969-09-01,long_univariate,train,42.5
1969-09-02,long_univariate,train,42.5
1969-09-03,long_univariate,train,42.5
1969-09-04,long_univariate,train,43.4
1969-09-05,long_univariate,train,43.52
1969-09-08,long_univariate,train,41.83
1969-09-09,long_univariate,train,41.05
1969-09-10,long_univariate,train,40.79
1969-09-11,long_univariate,train,40.79
1969-09-12,long_univariate,train,35.0
1969-09-15,long_univariate,train,35.0
1969-09-16,long_univariate,train,35.0
1969-09-17,long_univariate,train,35.0
1969-09-18,long_univariate,train,35.0
1969-09-19,long_univariate,train,35.0
1969-09-22,long_univariate,train,35.0
1969-09-23,long_univariate,train,35.0
1969-09-24,long_univariate,train,35.0
1969-09-25,long_univariate,train,35.0
1969-09-26,long_univariate,train,35.0
1969-09-29,long_univariate,train,35.0
1969-09-30,long_univariate,train,35.0
1969-10-01,long_univariate,train,42.3
1969-10-02,long_univariate,train,42.45
1969-10-03,long_univariate,train,43.83
1969-10-06,long_univariate,train,42.3
1969-10-07,long_univariate,train,41.9
1969-10-08,long_univariate,train,41.9
1969-10-09,long_univariate,train,40.95
1969-10-10,long_univariate,train,40.73
1969-10-13,long_univariate,train,35.05
1969-10-14,long_univariate,train,35.05
1969-10-15,long_univariate,train,35.05
1969-10-16,long_univariate,train,35.05
1969-10-17,long_univariate,train,35.05
1969-10-20,long_univariate,train,35.05
1969-10-21,long_univariate,train,35.05
1969-10-22,long_univariate,train,35.05
1969-10-23,long_univariate,train,35.05
1969-10-24,long_univariate,train,35.05
1969-10-27,long_univariate,train,35.05
1969-10-28,long_univariate,train,35.05
1969-10-29,long_univariate,train,35.05
1969-10-30,long_univariate,train,35.05
1969-10-31,long_univariate,train,35.05
1969-11-03,long_univariate,train,42.95
1969-11-04,long_univariate,train,43.4
1969-11-05,long_univariate,train,43.4
1969-11-06,long_univariate,train,41.4
1969-11-07,long_univariate,train,41.89
1969-11-10,long_univariate,train,40.92
1969-11-11,long_univariate,train,38.35
1969-11-12,long_univariate,train,35.2
1969-11-13,long_univariate,train,35.2
1969-11-14,long_univariate,train,35.2
1969-11-17,long_univariate,train,35.2
1969-11-18,long_univariate,train,35.2
1969-11-19,long_univariate,train,35.2
1969-11-20,long_univariate,train,35.2
1969-11-21,long_univariate,train,35.2
1969-11-24,long_univariate,train,35.2
1969-11-25,long_univariate,train,35.2
1969-11-26,long_univariate,train,35.2
1969-11-27,long_univariate,train,35.2
1969-11-28,long_univariate,train,35.2
1969-12-01,long_univariate,train,35.2
1969-12-02,long_univariate,train,42.5
1969-12-03,long_univariate,train,42.85
1969-12-04,long_univariate,train,42.85
1969-12-05,long_univariate,train,43.5
1969-12-08,long_univariate,train,41.1
1969-12-09,long_univariate,train,41.05
1969-12-10,long_univariate,train,41.05
1969-12-11,long_univariate,train,37.75
1969-12-12,long_univariate,train,35.3
1969-12-15,long_univariate,train,35.3
1969-12-16,long_univariate,train,35.3
1969-12-17,long_univariate,train,35.3
1969-12-18,long_univariate,train,35.3
1969-12-19,long_univariate,train,35.3
