iter	Passed	Remaining
354	3208	5828
355	3213	5813
356	3219	5798
357	3224	5782
358	3234	5775
359	3240	5760
360	3245	5744
361	3250	5728
362	3259	5719
363	3265	5704
364	3274	5696
365	3279	5681
366	3289	5672
367	3294	5658
368	3304	5650
369	3309	5635
370	3315	5620
371	3320	5606
372	3329	5597
373	3339	5589
374	3348	5581
375	3354	5566
376	3360	5553
377	3369	5545
378	3374	5529
379	3383	5520
380	3393	5514
381	3403	5506
382	3409	5491
383	3418	5484
384	3426	5473
385	3436	5465
386	3445	5458
387	3455	5450
388	3464	5441
389	3473	5433
390	3479	5419
391	3488	5410
392	3497	5402
393	3503	5387
394	3512	5379
395	3521	5371
396	3531	5364
397	3540	5355
398	3550	5347
399	3559	5339
400	3564	5324
401	3573	5316
402	3582	5306
403	3591	5298
404	3601	5290
405	3610	5282
406	3616	5268
407	3621	5254
408	3627	5241
409	3636	5233
410	3646	5225
