date,split,horizon,gold_price,actual_target,prediction,naive_prediction,predicted_log_return,error,interval_type,origin_index,origin_date,horizon_trading_days,raw_gold_price_anchor,actual_gold_price,predicted_log_return_p10,predicted_log_return_p50,predicted_log_return_p90,forecast_price_p10,forecast_price_p50,forecast_price_p90,p10,p50,p90,interval_width_price
2023-03-30,test,10,1993.300048828125,2053.0,1991.5258599740773,1993.300048828125,-0.0008904710412025452,-61.47414002592268,native,4498,2023-03-30,10,1993.300048828125,2053.0,-0.031105205416679382,-0.0008904710412025452,0.012017007917165756,1932.2524119085574,1991.5258599740773,2017.3980316104717,1932.2524119085574,1991.5258599740773,2017.3980316104717,85.14561970191426
2023-03-30,test,20,1993.300048828125,2013.300048828125,1984.3234825200343,1993.300048828125,-0.004513531923294067,-28.976566308090696,native,4498,2023-03-30,20,1993.300048828125,2013.300048828125,-0.03316566348075867,-0.004513531923294067,0.008339136838912964,1928.2751303122204,1984.3234825200343,2009.9921327269112,1928.2751303122204,1984.3234825200343,2009.9921327269112,81.7170024146908
2023-03-30,test,30,1993.300048828125,1834.0999755859375,1995.3148278133885,1993.300048828125,0.0010103732347488403,161.21485222745105,native,4498,2023-03-30,30,1993.300048828125,1834.0999755859375,-0.029387585818767548,0.0010103732347488403,0.013660434633493423,1935.5741002485738,1995.3148278133885,2020.7161556522478,1935.5741002485738,1995.3148278133885,2020.7161556522478,85.14205540367402
2023-03-31,test,1,1993.300048828125,1871.300048828125,2014.8445683511673,1993.300048828125,0.010750383138656616,143.54451952304225,native,4499,2023-03-31,1,1993.300048828125,1871.300048828125,-0.014761209487915039,0.010750383138656616,0.026384755969047546,1964.09252570846,2014.8445683511673,2046.5927232564718,1964.09252570846,2014.8445683511673,2046.5927232564718,82.50019754801178
2023-03-31,test,5,1993.300048828125,2085.39990234375,2010.5602818664047,1993.300048828125,0.008621912449598312,-74.8396204773453,native,4499,2023-03-31,5,1993.300048828125,2085.39990234375,-0.020556218922138214,0.008621912449598312,0.021821096539497375,1952.7435624916689,2010.5602818664047,2037.2742219372012,1952.7435624916689,2010.5602818664047,2037.2742219372012,84.53065944553236
2023-03-31,test,10,1993.300048828125,2053.0,1993.8052286987077,1993.300048828125,0.00025340914726257324,-59.19477130129235,native,4499,2023-03-31,10,1993.300048828125,2053.0,-0.029852725565433502,0.00025340914726257324,0.014080390334129333,1934.6739961329731,1993.8052286987077,2021.5649338731891,1934.6739961329731,1993.8052286987077,2021.5649338731891,86.89093774021603
2023-03-31,test,20,1993.300048828125,2013.300048828125,1986.1040871109144,1993.300048828125,-0.0036165937781333923,-27.195961717210594,native,4499,2023-03-31,20,1993.300048828125,2013.300048828125,-0.032021425664424896,-0.0036165937781333923,0.009980451315641403,1930.482856642222,1986.1040871109144,2013.2938609967823,1930.482856642222,1986.1040871109144,2013.2938609967823,82.81100435456028
2023-03-31,test,30,1993.300048828125,2050.0,1997.3652497810544,1993.300048828125,0.0020372718572616577,-52.634750218945555,native,4499,2023-03-31,30,1993.300048828125,2050.0,-0.028056219220161438,0.0020372718572616577,0.01547449454665184,1938.152870025384,1997.3652497810544,2024.3852442607458,1938.152870025384,1997.3652497810544,2024.3852442607458,86.23237423536193
2023-04-03,test,1,1871.300048828125,2034.199951171875,1893.1323080633592,1871.300048828125,0.011599365621805191,-141.06764310851577,native,4500,2023-04-03,1,1871.300048828125,2034.199951171875,-0.004316635429859161,0.011599365621805191,0.018976248800754547,1863.2396310968034,1893.1323080633592,1907.1495335515647,1863.2396310968034,1893.1323080633592,1907.1495335515647,43.90990245476132
2023-04-03,test,5,1871.300048828125,1836.0,1889.8720472175046,1871.300048828125,0.009875781834125519,53.87204721750459,native,4500,2023-04-03,5,1871.300048828125,1836.0,-0.015471883118152618,0.009875781834125519,0.024638831615447998,1842.5703804089426,1889.8720472175046,1917.9794441601553,1842.5703804089426,1889.8720472175046,1917.9794441601553,75.40906375121267
2023-04-03,test,10,1871.300048828125,2018.199951171875,1884.0689390653279,1871.300048828125,0.006800409406423569,-134.13101210654713,native,4500,2023-04-03,10,1871.300048828125,2018.199951171875,-0.02007049322128296,0.006800409406423569,0.02275915816426277,1834.1165675355296,1884.0689390653279,1914.3776534234348,1834.1165675355296,1884.0689390653279,1914.3776534234348,80.26108588790521
2023-04-03,test,20,1871.300048828125,1864.300048828125,1877.7552091494726,1871.300048828125,0.0034435465931892395,13.455160321347648,native,4500,2023-04-03,20,1871.300048828125,1864.300048828125,-0.02128618210554123,0.0034435465931892395,0.0185246542096138,1831.8880348054518,1877.7552091494726,1906.2882357666967,1831.8880348054518,1877.7552091494726,1906.2882357666967,74.40020096124499
2023-04-03,test,30,1871.300048828125,2027.5,1884.9645906079968,1871.300048828125,0.007275529205799103,-142.5354093920032,native,4500,2023-04-03,30,1871.300048828125,2027.5,-0.01950603350996971,0.007275529205799103,0.02294861525297165,1835.1521994874201,1884.9645906079968,1914.7403755674895,1835.1521994874201,1884.9645906079968,1914.7403755674895,79.58817608006939
