trial_number,sequence_length,hidden_size,attention_heads,dropout,learning_rate,weight_decay,batch_size,grn_depth,status,validation_quantile_loss,epochs_completed,parameter_count,runtime_seconds
19,20,128,8,0.2903507081440615,4.501941890944081e-05,4.833191918628694e-07,128,3,completed,0.016165008251037862,60,527395,20.019
20,20,192,8,0.19342117374893264,0.0002255860324894685,5.292744716030425e-08,64,3,completed,0.018766734201241943,18,1146915,11.352
21,20,192,2,0.13894096212862522,0.0013843571152107382,1.3904711446755554e-06,64,2,completed,0.01393161533290849,25,1035363,14.929
22,20,192,2,0.14192870981372624,0.001520765409909542,1.8032042826077543e-07,64,2,completed,0.015026985831996974,21,1035363,12.477
23,20,192,4,0.19629763771226783,0.0015033527515744452,2.6624963870362928e-08,64,1,completed,0.014052181340315762,23,923811,12.795
24,20,192,4,0.20401422161316501,0.0029495409130293167,5.68822319978473e-07,64,1,completed,0.013530945487539558,28,923811,15.455
25,20,192,4,0.07205169011831489,0.00288804684515924,7.820849259464931e-07,64,1,completed,0.01586274999906035,22,923811,12.229
26,252,192,4,0.20677899844060002,0.0006158516200719927,8.874299595651212e-06,64,1,completed,0.01657211736721151,16,923811,30.276
27,120,256,4,0.27588557905828864,0.0020592759282065274,5.478103633060702e-06,64,1,completed,0.01574906542458955,39,1608227,41.28
28,60,128,2,0.14240523256074708,0.0010673948910989433,9.53873423450306e-07,32,1,completed,0.014354193442021355,24,427811,22.429
29,20,256,4,0.12394978064715903,0.0002782368923861488,2.3645982453715598e-05,128,1,completed,0.01627365965396166,22,1608227,7.26
30,20,192,2,0.21500090260155763,0.000532751461030497,1.8974217319847565e-07,64,2,completed,0.015123142039074618,23,1035363,13.634
31,20,192,4,0.20103345664084205,0.0017808459489264358,7.679647313971404e-08,64,1,completed,0.013700450688381405,29,923811,16.04
32,20,192,4,0.15815763127630839,0.0022334927219841293,1.009246693847457e-07,64,1,completed,0.013808961848125738,29,923811,15.988
33,20,192,4,0.16029392880257123,0.0020815156423279815,8.769990547593129e-08,64,1,completed,0.013777453068862943,35,923811,19.476
34,20,192,4,0.15916936516814445,0.002018476741456905,7.085626775603358e-08,64,1,completed,0.014257745625560774,30,923811,16.562
35,60,64,4,0.10039177594289266,0.001956384710604184,3.310945709422238e-07,32,1,completed,0.015528077203215975,18,120227,16.525
36,252,128,4,0.2692793550137107,0.002974479259386089,1.034883396156361e-07,128,1,completed,0.01627087365421984,37,427811,31.09
37,20,192,4,0.21697742924325747,0.0021620740703401538,4.9773311391006656e-08,64,1,completed,0.01601728703826666,23,923811,12.829
38,120,64,4,0.173666836300043,0.001025127940979153,1.939834691809929e-07,64,1,completed,0.016065976144198107,29,120227,14.969
39,60,256,4,0.26393642944083906,0.00010877652295629103,5.863709981955519e-07,32,1,completed,0.015932025599547407,27,1608227,33.696
40,20,192,4,0.22969384477901314,0.0017355558312451063,2.546865545384117e-07,64,1,completed,0.0140238466727383,29,923811,16.645
41,20,192,4,0.19534421429250115,0.0011186119154502478,2.4943892438581997e-08,64,1,completed,0.013844727976795505,33,923811,18.194
42,20,192,4,0.18644851560127312,0.00241794722247418,9.775073951975525e-08,64,1,completed,0.016448634128798458,28,923811,15.552
43,20,192,4,0.15395906624177946,1.0369877919317984e-05,4.7615963137421235e-08,64,1,completed,0.02976719125667039,25,923811,13.92
44,20,64,4,0.23831845126519932,0.002399445931423438,1.8672434450506758e-08,64,1,completed,0.013846804113949047,21,120227,10.517
45,120,192,4,0.11664039760289893,0.00015730238177332636,2.992490984205513e-08,64,1,completed,0.02037844220724176,32,923811,32.025
46,20,192,4,0.17627871620249613,0.0010892143592998713,1.275476381408657e-07,64,1,completed,0.014413065715309452,26,923811,14.416
47,20,128,8,0.2046593068423307,0.0006660574218096323,5.980761048447449e-08,32,1,completed,0.01488664046381459,18,427811,16.074
48,20,192,4,0.24845711093226763,0.0017087643046715204,3.0812056454768824e-07,128,1,completed,0.017692552362051275,16,923811,5.385
49,60,256,8,0.22113298188819347,3.8229550266604705e-05,0.00012775301738400023,64,1,completed,0.019900993224890792,39,1608227,27.116
50,252,192,4,0.15014857267028162,0.0008467265476599027,3.675687842868773e-08,64,1,completed,0.017690450720050755,21,923811,39.817
51,20,192,4,0.18435769418665096,0.0012440783090958757,1.783097634788343e-08,64,1,completed,0.013689914937405026,41,923811,22.583
52,20,192,4,0.1813320713052496,0.0012281886124811778,1.3632346887491486e-08,64,1,completed,0.014361177625901559,20,923811,11.02
53,20,192,4,0.165169912762285,0.002504864995690326,1.9353994424790743e-08,64,1,completed,0.015805171583505237,30,923811,16.638
54,20,192,4,0.18739794954942662,0.0004958651102704558,1.4402221853553188e-07,64,1,completed,0.013990844983388396,26,923811,14.336
55,20,192,8,0.20671260697742994,0.001767348650990329,4.066009526138809e-08,64,1,completed,0.016156792092849228,18,923811,10.065
56,20,192,4,0.1719127734289254,0.0009439627499961122,7.758110844151547e-08,64,1,completed,0.012854200267397305,39,923811,21.471
57,20,192,4,0.13391043692760538,0.0009071715021931679,7.763948379977099e-08,64,1,completed,0.01589358992436353,22,923811,12.073
58,20,192,4,0.1125889146879541,0.0014718388443646542,3.9882062395135856e-07,64,3,completed,0.014568312477101298,32,1146915,19.974
59,120,64,4,0.16997554824140274,0.0029671123079407814,1.3475053194248983e-07,128,1,completed,0.01582232117652893,31,120227,10.212
60,20,192,4,0.14743499477912755,8.427550893811046e-05,3.672506429067455e-06,64,1,completed,0.02383952456362107,14,923811,7.756
61,20,192,8,0.2001124778258366,0.0012583776584764116,6.69193908178966e-08,64,1,completed,0.015185805804589215,28,923811,15.487
62,20,192,4,0.1819469127475221,0.0017154203366010383,2.2868384356178615e-08,64,1,completed,0.01532050468684996,20,923811,10.981
63,20,192,4,0.16742518717101518,0.0007533176515913993,1.0846394703982041e-08,64,1,completed,0.01587412352947628,19,923811,10.543
64,20,192,8,0.131684730445488,0.0022829979365934054,3.512656523011332e-08,64,2,completed,0.012923400246483438,41,1035363,24.218
65,20,192,4,0.1269499916011386,0.0024449138010425127,3.557431526988183e-08,64,2,completed,0.01339716708068462,29,1035363,17.038
66,20,128,8,0.08446673238608049,0.0025288743295458324,3.890979686796006e-08,64,2,completed,0.014486055191168013,23,477603,12.384
67,20,192,4,0.1285015048414575,0.002097189679048815,3.407363813185928e-08,32,2,completed,0.012869659472595562,34,1035363,34.877
68,252,192,4,0.12636302165278357,0.0014565298212122185,1.397116906435947e-08,32,2,completed,0.016152952600157623,43,1035363,99.619
69,20,192,2,0.09337617823517798,0.0019054398836989923,3.2351593797772644e-08,32,2,completed,0.01619351124673179,19,1035363,19.316
