Date, GLD Close, NAV per GLD in Gold, NAV/share at 10.30 a.m. NYT, Indicative Price of GLD at 4.15 p.m. NYT, Mid point of bid/ask spread at 4.15 p.m. NYT#, Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT, Daily Share Volume, Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT, Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT, Total Net Asset Value in the Trust
10-Jun-11,149.24,97.4406,149.0110428,149.438,$149.22 ,-0.15%,12342781,38612046.72,1200.96,59038175169
13-Jun-11,147.77,97.43737,148.7137792,147.759,$147.78 ,0.01%,12987670,38582815.51,1200.05,58875785202
14-Jun-11,148.73,97.43617,147.7132368,148.58,$148.71 ,0.09%,10903132,38582815.51,1200.05,58479670463
15-Jun-11,149.14,97.43528,149.0516229,148.83,$149.16 ,0.22%,14468350,38582815.51,1200.05,59009537489
16-Jun-11,149.01,97.43413,148.4165326,148.738,$148.98 ,0.16%,10922535,38582815.51,1200.05,58758105257
17-Jun-11,149.94,97.43326,149.8036384,149.818,$149.97 ,0.10%,16153030,38875115.29,1209.14,59756671340
20-Jun-11,150.03,97.43016,150.4321691,150.208,$150.05 ,-0.11%,10128301,38875115.29,1209.14,60007392239
21-Jun-11,150.76,97.42911,150.5036115,150.606,$150.76 ,0.10%,11600244,38875115.29,1209.14,60035890641
22-Jun-11,150.99,97.42817,151.2572363,150.848,$150.99 ,0.09%,14099171,38875115.29,1209.14,60336511555
23-Jun-11,148.32,97.42657,148.3806643,147.957,$148.33 ,0.25%,23307299,38875115.29,1209.14,59189047000
24-Jun-11,146.26,97.42534,147.5750368,146.299,$146.25 ,-0.03%,18521650,38875115.29,1209.14,58867682166
27-Jun-11,145.73,97.42177,145.9378184,145.546,$145.75 ,0.14%,10554186,38875115.29,1209.14,58214595766
28-Jun-11,146.24,97.42073,146.0336738,146.087,$146.26 ,0.12%,8625404,38875115.29,1209.14,58252832487
29-Jun-11,147.18,97.41978,146.5437108,147.006,$147.18 ,0.12%,12586644,38845889.36,1208.23,58412323108
30-Jun-11,145.98,97.41875,146.6639232,146.269,$146.01 ,-0.18%,13119523,38845889.36,1208.23,58460239802
1-Jul-11,144.94,97.41712,144.4695841,144.825,$144.93 ,0.07%,16359714,38767955.66,1205.81,57470000539
4-Jul-11, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
5-Jul-11,147.63,97.41359,147.0945188,147.465,$147.63 ,0.11%,15531600,38767955.66,1205.81,58514199581
6-Jul-11,148.9,97.413,148.7740026,148.974,$148.92 ,-0.04%,13986627,38767955.66,1205.81,59182298236
7-Jul-11,149.15,97.41194,148.7967359,149.228,$149.16 ,-0.05%,15492800,38767955.66,1205.81,59191341545
8-Jul-11,150.25,97.41127,150.1594729,150.476,$150.28 ,-0.13%,13649966,38755260.4,1205.41,59733438304
11-Jul-11,151.61,97.4082,151.518457,151.207,$151.58 ,0.25%,20114989,38755260.4,1205.41,60274042186
12-Jul-11,152.79,97.40708,151.0296819,152.617,$152.76 ,0.09%,24010398,39398147.13,1225.41,61076403342
13-Jul-11,154.14,97.40632,153.804572,153.931,$154.12 ,0.12%,25179512,39398147.13,1225.41,62198568900
14-Jul-11,154.54,97.40537,154.9232468,154.563,$154.57 ,0.00%,17647437,39398147.13,1225.41,62650960998
15-Jul-11,155.2,97.40427,154.5805698,154.968,$155.22 ,0.16%,18444458,39739062.08,1236.01,63053414427
18-Jul-11,156.57,97.40122,155.7445574,156.285,$156.55 ,0.17%,17108952,40167627.45,1249.34,64213481003
19-Jul-11,154.67,97.40018,155.9376951,154.647,$154.63 ,-0.01%,22848906,40060487.25,1246.01,64121580211
20-Jul-11,156.02,97.3989,154.4746517,155.507,$155.99 ,0.31%,13553562,40060487.25,1246.01,63519976785
21-Jul-11,154.83,97.39806,155.9342933,154.593,$154.86 ,0.17%,18391644,39953349.38,1242.68,63948653676
22-Jul-11,156.08,97.39701,156.0300068,156.074,$156.12 ,0.03%,11294091,39924130.28,1241.77,63941096777
25-Jul-11,157.34,97.39401,157.1452345,157.109,$157.34 ,0.15%,12374020,39924130.28,1241.77,64398117094
26-Jul-11,157.77,97.39293,157.0704456,157.465,$157.77 ,0.19%,11791315,39924130.28,1241.77,64367468591
27-Jul-11,157.19,97.39209,158.2621484,157.301,$157.17 ,-0.08%,18262308,40021522.37,1244.8,65014090577
28-Jul-11,157.32,97.3908,157.1400575,157.013,$157.30 ,0.18%,11297791,40605867.17,1262.97,65495975965
29-Jul-11,158.41,97.39003,158.599663,158.195,$158.29 ,0.06%,17088944,40625345.17,1263.58,66136059466
1-Aug-11,157.7,97.38671,158.0586288,157.862,$157.69 ,-0.11%,14331453,40625345.17,1263.58,65910448204
2-Aug-11,161.52,97.38597,159.4938686,160.025,$161.50 ,0.92%,24173679,41209660.99,1281.75,67465906407
3-Aug-11,161.41,97.38559,162.5608916,161.972,$161.46 ,-0.32%,27609604,41355739.38,1286.3,69007098494
4-Aug-11,160.64,97.38474,163.5576771,161.318,$160.65 ,-0.41%,39945373,41355739.38,1286.3,69430233935
5-Aug-11,161.78,97.38321,161.5343955,161.622,$161.76 ,0.09%,24508172,41355739.38,1286.3,68571350868
8-Aug-11,167.12,97.38084,164.8657599,166.716,$167.12 ,0.24%,42819412,42115309.93,1309.92,71271467988
9-Aug-11,168.61,97.38078,169.0530312,171.865,$168.70 ,-1.84%,55548342,41696572.58,1296.9,72354697365
10-Aug-11,174.58,97.38055,172.5583285,172.812,$174.57 ,1.02%,44200687,41684377.27,1296.52,73854964599
11-Aug-11,170.67,97.37939,171.3877295,169.538,$170.77 ,0.73%,49776896,40924818.03,1272.89,72017123918
12-Aug-11,169.97,97.37813,169.0484288,169.701,$169.97 ,0.16%,29179405,40515829.88,1260.17,70324146399
15-Aug-11,171.8,97.37496,169.3350494,171.726,$171.82 ,0.06%,17667803,40515829.88,1260.17,70443380555
