horizon,trial_number,value,state,timestamp_utc,elapsed_hms,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_max_delta_step,param_max_bin
5,26,106.282438250102,TrialState.COMPLETE,2026-05-05T10:11:59Z,00:11:06,297,6,0.007132304870621632,0.9978391291714797,0.8016450235597279,2.7901603074775645,0.030068326746918114,0.09825701289110583,2.382720471469759,6.974197744185311,128
5,27,102.09985554717697,TrialState.COMPLETE,2026-05-05T10:12:00Z,00:11:06,422,6,0.011319872771978861,0.9657185084777997,0.8525094524734971,4.571210927156825,0.03955586494536807,0.2879284341945791,1.5477606887580118,5.834158763316249,128
5,28,100.71770957948483,TrialState.COMPLETE,2026-05-05T10:12:00Z,00:11:07,514,8,0.005557110417399871,0.9426942511949478,0.6549159522510344,7.472748074737051,4.915738873195643e-05,0.0008505907190350687,1.019927746987693,7.072874183252655,512
5,29,111.68297697394925,TrialState.COMPLETE,2026-05-05T10:12:01Z,00:11:07,371,6,0.017977810769527425,0.8129511688909439,0.805957132825579,1.8059306227909846,1.504337205113501,0.03843036282219647,3.3172882758113365,7.904736124863775,256
5,30,105.09368895618339,TrialState.COMPLETE,2026-05-05T10:12:01Z,00:11:08,651,7,0.007930064792445912,0.7611713513665868,0.913843177163362,10.920989295211177,0.0023791199376707373,0.006596388497719565,2.033447057799458,6.538289916535515,256
5,31,98.15008475372905,TrialState.COMPLETE,2026-05-05T10:12:02Z,00:11:08,327,5,0.004987083497658301,0.9088043264802578,0.908995955887691,2.4121377552419316,0.0007592688117112412,0.7653914919332999,0.3170435233687326,3.1871453186723553,128
5,32,97.79740939839684,TrialState.COMPLETE,2026-05-05T10:12:02Z,00:11:09,291,5,0.0062189537033222695,0.9744722431339502,0.941409240599502,2.180114391167542,0.014417723242322154,6.777886918949583,0.47478444584190016,4.176527799771241,128
5,33,99.89436806312906,TrialState.COMPLETE,2026-05-05T10:12:02Z,00:11:09,251,5,0.008341974894684068,0.985438209954002,0.9505115007451365,2.9865538752601077,0.05836060517392332,8.241268559270079,1.1011135663781193,2.0165403365088705,128
5,34,96.78408716746985,TrialState.COMPLETE,2026-05-05T10:12:03Z,00:11:09,404,6,0.010193728478467612,0.975654740783191,0.9225865533457172,2.1517685816791636,0.014493887852341996,6.482427829999267,0.43310023287989785,4.50022912097525,128
5,35,118.35100001246612,TrialState.COMPLETE,2026-05-05T10:12:03Z,00:11:10,400,7,0.009980892068572004,0.9755666981278828,0.9561422551498592,3.433142090842814,0.19837930136248094,12.822867990228058,5.271386413525088,4.473572095152239,128
5,36,115.92353723212055,TrialState.COMPLETE,2026-05-05T10:12:04Z,00:11:10,467,6,0.006321828228513012,0.7144756696080501,0.8733189355032851,2.0010732214339284,0.012612944672400468,3.865949697173237,3.896672680998223,5.304472552653288,128
5,37,100.50601225026956,TrialState.COMPLETE,2026-05-05T10:12:04Z,00:11:11,546,7,0.0280901823056506,0.6536687205646744,0.938971856969283,2.2169424818233243,0.10389819275826782,2.1633139554237126,1.1791275252558373,4.847547477220812,256
5,38,97.7986725328715,TrialState.COMPLETE,2026-05-05T10:12:04Z,00:11:11,290,6,0.015349825943192261,0.9495934511862556,0.9981964178138554,3.3059612358653228,0.006935591184261228,3.907650355241447,0.5236201604245965,4.343821681981309,512
5,39,103.85155076143099,TrialState.COMPLETE,2026-05-05T10:12:05Z,00:11:11,371,7,0.007535401630408554,0.8696758279798665,0.8750451078834726,5.082141460368212,0.00012928462971611274,20.669291469915944,1.8130539712245985,6.111999070070329,128
5,40,112.01754576526083,TrialState.COMPLETE,2026-05-05T10:12:05Z,00:11:12,457,5,0.010246158192850331,0.622091504035844,0.9679870681672804,21.692625531673627,0.9238579092485508,1.4138705185233669,2.817153077092062,3.8338182424571206,128
5,41,97.8512293057679,TrialState.COMPLETE,2026-05-05T10:12:05Z,00:11:12,274,6,0.016842622317732262,0.9517883344304775,0.9945035551951964,3.2903322168291247,0.008793410370182612,4.566996253953286,0.5594007629973813,4.519622031985629,512
5,42,97.46861716989348,TrialState.COMPLETE,2026-05-05T10:12:06Z,00:11:12,291,6,0.015300972582632251,0.9815746620608766,0.9296554603370468,2.608042568548516,0.014503717369455967,24.53918456828273,0.4512419200441719,4.24651762036087,512
5,43,95.69026978225033,TrialState.COMPLETE,2026-05-05T10:12:07Z,00:11:14,365,6,0.008715625292879364,0.983712229030967,0.9193850925243825,1.945854250090069,0.02277034894497706,21.14133011821974,0.013921252486711722,4.1428712354781645,512
5,44,98.65379337899893,TrialState.COMPLETE,2026-05-05T10:12:08Z,00:11:15,367,6,0.008594172879684614,0.9918244035106685,0.905831655182832,1.867360178393979,4.479020673848668,26.40437776999089,0.010896823306903947,5.247004489033347,512
5,45,124.02736511028675,TrialState.COMPLETE,2026-05-05T10:12:09Z,00:11:15,436,7,0.011101253965463072,0.9156923868104617,0.9231428159198177,2.5935940428710182,0.3637704139305683,46.37021849699164,6.9142162479172455,3.5649727051969844,512
5,46,100.65300576645468,TrialState.COMPLETE,2026-05-05T10:12:09Z,00:11:16,560,6,0.012309926053157925,0.979554270555525,0.8677024137968125,5.94992636316825,0.001304145153805952,13.654233059129641,1.179859167536209,4.876993916801826,512
5,47,116.95881455400553,TrialState.COMPLETE,2026-05-05T10:12:09Z,00:11:16,376,7,0.008870709042441834,0.9431689063930484,0.8486150418658674,3.8627137763895742,0.11339395255127137,1.6354024374908032,4.9026490418088855,4.010003799766385,512
5,48,96.17865387598047,TrialState.COMPLETE,2026-05-05T10:12:10Z,00:11:16,320,5,0.02288980130085479,0.7298672940911546,0.891739183063593,2.4154274710863497,0.025221096569059066,14.928607792652297,0.3211318085810797,3.274627934097251,512
5,49,124.06434123705147,TrialState.COMPLETE,2026-05-05T10:12:10Z,00:11:17,326,6,0.02458238056902139,0.7326292848957983,0.8262405093507039,1.2546695222367643,0.024865002157607646,27.758048158518285,5.979143627053345,3.1001592042939716,512
5,50,98.78736169693076,TrialState.COMPLETE,2026-05-05T10:12:11Z,00:11:17,510,8,0.02969241254664581,0.8796608077981768,0.8897811660549456,2.474545280688422,0.003953453417458447,11.611543567330077,0.802202982427982,2.2455547882703444,512
5,51,97.31953180639817,TrialState.COMPLETE,2026-05-05T10:12:11Z,00:11:18,309,5,0.01576362029682763,0.6753742772363968,0.9699740350865853,1.6490431404515908,0.33173017504999486,30.95854031806823,0.40309716105620247,3.5358292008826395,512
5,52,96.42989262523899,TrialState.COMPLETE,2026-05-05T10:12:11Z,00:11:18,402,5,0.01893649869329486,0.677305616056718,0.969432221669966,1.6904695025190661,0.3286551606291429,30.910771495785173,0.2698328070996605,3.7782704739975106,512
5,53,97.16510235062104,TrialState.COMPLETE,2026-05-05T10:12:12Z,00:11:18,398,5,0.01998574410243942,0.6761022368099444,0.966239641160082,1.6835282536861513,0.49335368371244004,45.23207279361152,0.2924483735413893,3.659986176790646,512
5,54,97.33031333925271,TrialState.COMPLETE,2026-05-05T10:12:12Z,00:11:19,406,5,0.020274134897716834,0.677291540020384,0.9764056286441016,1.656658207982918,0.44391103551256456,49.96749240426555,0.2999769473489961,3.8390544742820403,512
5,55,99.62358090911054,TrialState.COMPLETE,2026-05-05T10:12:13Z,00:11:20,577,4,0.02384918743643052,0.7105393228249788,0.9749746381642527,1.427071453082488,2.2442137103671373,13.374489044220375,0.015170364151202986,3.458738381808065,512
5,56,98.78359054456584,TrialState.COMPLETE,2026-05-05T10:12:14Z,00:11:20,640,4,0.03656364837625217,0.6719538878737483,0.9542307548385981,1.8316730388757743,0.7590580183686572,36.76163895785328,0.8220526308940884,2.683798018794574,512
5,57,104.37089550265324,TrialState.COMPLETE,2026-05-05T10:12:14Z,00:11:21,887,5,0.019415534175710306,0.6571078418924968,0.967826430385913,1.199133922542915,8.507997250759413,6.293448821748994,1.4244981071082288,3.427566981419154,512
5,58,100.77245645597816,TrialState.COMPLETE,2026-05-05T10:12:15Z,00:11:21,443,5,0.0228591331725299,0.691436181472947,0.8876407844903056,1.5837593610795777,0.07936666083818701,21.522915697337456,1.1816513204811776,3.0314876740752923,512
5,59,96.35516751765576,TrialState.COMPLETE,2026-05-05T10:12:15Z,00:11:22,775,4,0.013933161629687656,0.738381221684518,0.9283808207531944,1.0131481956730717,0.26383303681529274,34.535790774756,0.24987488690939816,3.812135408340912,512
5,60,103.75840716027479,TrialState.COMPLETE,2026-05-05T10:12:16Z,00:11:23,772,3,0.012999038975919412,0.7431973503300028,0.9046373727698378,1.0701196028307072,0.19062203611485465,15.186959611338635,1.7340427753045007,4.703443818748243,512
